time,lat,lon
437895.0054,30.5299621219,114.3560909015
437896.0054,30.5299621135,114.3560909046
437897.0054,30.5299621064,114.3560909062
437898.0054,30.5299621006,114.3560909062
437899.0054,30.5299620965,114.3560909046
437900.0054,30.5299620935,114.3560909018
437901.0054,30.5299620918,114.356090898
437902.0054,30.5299620913,114.3560908936
437903.0054,30.5299620918,114.3560908889
437904.0054,30.529962093,114.3560908843
437905.0054,30.5299620948,114.35609088
437906.0054,30.5299620971,114.3560908764
437907.0054,30.5299620995,114.3560908734
437908.0054,30.5299621022,114.3560908711
437909.0054,30.5299621049,114.3560908694
437910.0054,30.5299621074,114.3560908681
437911.0054,30.5299621098,114.3560908673
437912.0054,30.5299621118,114.3560908669
437913.0054,30.5299621134,114.356090867
437914.0054,30.5299621144,114.3560908674
437915.0054,30.5299621147,114.356090868
437916.0054,30.5299621146,114.356090869
437917.0054,30.5299621142,114.3560908704
437918.0054,30.5299621135,114.3560908724
437919.0054,30.5299621126,114.3560908748
437920.0054,30.5299621114,114.3560908776
437921.0054,30.5299621101,114.3560908805
437922.0054,30.5299621087,114.3560908833
437923.0054,30.5299621071,114.356090886
437924.0054,30.5299621055,114.3560908887
437925.0054,30.5299621038,114.3560908914
437926.0055,30.5299621022,114.3560908939
437927.0055,30.5299621007,114.3560908961
437928.0055,30.5299620993,114.3560908982
437929.0055,30.529962098,114.3560908999
437930.0055,30.5299620966,114.3560909013
437931.0055,30.5299620951,114.3560909025
437932.0055,30.5299620937,114.3560909035
437933.0055,30.5299620921,114.3560909045
437934.0055,30.5299620903,114.3560909057
437935.0055,30.5299620884,114.3560909071
437936.0055,30.5299620862,114.3560909089
437937.0055,30.5299620836,114.3560909113
437938.0055,30.5299620807,114.356090914
437939.0055,30.5299620775,114.3560909174
437940.0055,30.5299620741,114.3560909213
437941.0055,30.5299620705,114.3560909257
437942.0055,30.5299620667,114.3560909303
437943.0055,30.5299620627,114.3560909349
437944.0055,30.5299620585,114.3560909395
437945.0055,30.5299620542,114.3560909442
437946.0055,30.52996205,114.356090949
437947.0055,30.5299620458,114.3560909537
437948.0055,30.5299620421,114.3560909585
437949.0055,30.5299620388,114.3560909633
437950.0055,30.5299620359,114.3560909681
437951.0055,30.5299620334,114.356090973
437952.0055,30.5299620311,114.3560909778
437953.0055,30.529962029,114.3560909827
437954.0055,30.5299620269,114.3560909874
437955.0055,30.529962025,114.3560909921
437956.0055,30.529962023,114.3560909967
437957.0055,30.529962021,114.3560910013
437958.0055,30.5299620189,114.356091006
437959.0055,30.5299620169,114.3560910107
437960.0055,30.5299620149,114.3560910153
437961.0055,30.5299620127,114.3560910198
437962.0055,30.5299620103,114.3560910242
437963.0055,30.5299620074,114.3560910285
437964.0055,30.5299620039,114.3560910326
437965.0055,30.5299619999,114.3560910362
437966.0055,30.5299619954,114.3560910394
437967.0055,30.5299619905,114.3560910422
437968.0055,30.5299619854,114.3560910446
437969.0055,30.5299619803,114.3560910465
437970.0055,30.5299619753,114.3560910479
437971.0055,30.5299619704,114.3560910488
437972.0055,30.5299619658,114.3560910493
437973.0055,30.5299619614,114.3560910495
437974.0055,30.5299619572,114.3560910494
437975.0055,30.5299619533,114.3560910491
437976.0055,30.5299619498,114.3560910485
437977.0055,30.5299619468,114.3560910479
437978.0055,30.5299619442,114.3560910473
437979.0055,30.5299619421,114.356091047
437980.0055,30.5299619406,114.3560910469
437981.0055,30.5299619394,114.3560910472
437982.0056,30.5299619384,114.3560910476
437983.0056,30.5299619374,114.3560910482
437984.0056,30.5299619365,114.3560910488
437985.0056,30.5299619354,114.3560910496
437986.0056,30.5299619342,114.3560910503
437987.0056,30.5299619328,114.3560910512
437988.0056,30.529961931,114.3560910523
437989.0056,30.529961929,114.3560910538
437990.0056,30.5299619268,114.3560910556
437991.0056,30.5299619245,114.3560910579
437992.0056,30.529961922,114.3560910605
437993.0056,30.5299619194,114.3560910633
437994.0056,30.5299619167,114.3560910663
437995.0056,30.5299619141,114.3560910691
437996.0056,30.5299619114,114.3560910718
437997.0056,30.5299619089,114.3560910742
437998.0056,30.5299619064,114.3560910763
437999.0056,30.5299619041,114.3560910783
438000.0056,30.5299619021,114.3560910801
438001.0056,30.5299619002,114.3560910818
438002.0056,30.5299618985,114.3560910833
438003.0056,30.5299618971,114.3560910847
438004.0056,30.5299618959,114.3560910861
438005.0056,30.5299618947,114.3560910872
438006.0056,30.5299618937,114.3560910883
438007.0056,30.5299618927,114.3560910891
438008.0056,30.5299618918,114.3560910895
438009.0056,30.5299618908,114.3560910895
438010.0056,30.5299618897,114.3560910896
438011.0056,30.5299618885,114.3560910899
438012.0056,30.5299618872,114.3560910904
438013.0056,30.5299618859,114.3560910912
438014.0056,30.5299618846,114.3560910924
438015.0056,30.5299618833,114.3560910939
438016.0056,30.529961882,114.3560910954
438017.0056,30.5299618807,114.3560910969
438018.0056,30.5299618795,114.3560910986
438019.0056,30.5299618783,114.3560911004
438020.0056,30.5299618772,114.3560911022
438021.0056,30.5299618762,114.3560911042
438022.0056,30.5299618754,114.3560911064
438023.0056,30.5299618747,114.3560911086
438024.0056,30.5299618739,114.356091111
438025.0056,30.5299618733,114.3560911135
438026.0056,30.5299618726,114.3560911163
438027.0056,30.529961872,114.3560911192
438028.0056,30.5299618713,114.3560911223
438029.0056,30.5299618707,114.3560911254
438030.0056,30.5299618702,114.3560911287
438031.0056,30.5299618697,114.3560911321
438032.0056,30.5299618692,114.3560911355
438033.0056,30.5299618687,114.3560911388
438034.0056,30.5299618683,114.356091142
438035.0056,30.5299618677,114.3560911451
438036.0056,30.5299618671,114.3560911479
438037.0056,30.5299618664,114.3560911505
438038.0057,30.5299618658,114.3560911532
438039.0057,30.5299618652,114.3560911559
438040.0057,30.5299618645,114.3560911587
438041.0057,30.5299618638,114.3560911619
438042.0057,30.529961863,114.3560911655
438043.0057,30.5299618622,114.3560911695
438044.0057,30.5299618616,114.356091174
438045.0057,30.5299618611,114.3560911787
438046.0057,30.5299618608,114.3560911838
438047.0057,30.5299618608,114.3560911891
438048.0057,30.5299618609,114.3560911946
438049.0057,30.5299618614,114.3560912002
438050.0057,30.5299618622,114.3560912059
438051.0057,30.5299618634,114.3560912116
438052.0057,30.5299618648,114.3560912172
438053.0057,30.5299618665,114.3560912226
438054.0057,30.5299618685,114.356091228
438055.0057,30.5299618707,114.3560912333
438056.0057,30.5299618729,114.3560912385
438057.0057,30.5299618751,114.3560912438
438058.0057,30.5299618771,114.3560912492
438059.0057,30.5299618789,114.3560912546
438060.0057,30.5299618802,114.3560912596
438061.0057,30.5299618811,114.3560912642
438062.0057,30.5299618816,114.356091268
438063.0057,30.5299618814,114.3560912713
438064.0057,30.5299618806,114.3560912739
438065.0057,30.5299618791,114.356091276
438066.0057,30.5299618772,114.3560912778
438067.0057,30.5299618749,114.3560912792
438068.0057,30.5299618724,114.3560912803
438069.0057,30.5299618699,114.3560912813
438070.0057,30.5299618672,114.3560912824
438071.0057,30.5299618645,114.3560912836
438072.0057,30.5299618617,114.3560912852
438073.0057,30.5299618589,114.356091287
438074.0057,30.5299618559,114.3560912893
438075.0057,30.5299618527,114.3560912919
438076.0057,30.5299618493,114.3560912952
438077.0057,30.5299618457,114.3560912991
438078.0057,30.529961842,114.3560913036
438079.0057,30.5299618381,114.3560913088
438080.0057,30.529961834,114.3560913147
438081.0057,30.5299618299,114.3560913215
438082.0057,30.5299618259,114.3560913289
438083.0057,30.5299618222,114.3560913371
438084.0057,30.5299618187,114.3560913456
438085.0057,30.5299618159,114.3560913543
438086.0057,30.5299618138,114.3560913623
438087.0057,30.5299618126,114.3560913691
438088.0057,30.5299635136,114.3560917615
