time,lat,lon
437895.0054,30.5299621219,114.3560909015
437897.0054,30.5299621064,114.3560909062
437899.0054,30.5299620965,114.3560909046
437901.0054,30.5299620918,114.356090898
437903.0054,30.5299620918,114.3560908889
437905.0054,30.5299620948,114.35609088
437907.0054,30.5299620995,114.3560908734
437909.0054,30.5299621049,114.3560908694
437911.0054,30.5299621098,114.3560908673
437913.0054,30.5299621134,114.356090867
437915.0054,30.5299621147,114.356090868
437917.0054,30.5299621142,114.3560908704
437919.0054,30.5299621126,114.3560908748
437921.0054,30.5299621101,114.3560908805
437923.0054,30.5299621071,114.356090886
437925.0054,30.5299621038,114.3560908914
437927.0055,30.5299621007,114.3560908961
437929.0055,30.529962098,114.3560908999
437931.0055,30.5299620951,114.3560909025
437933.0055,30.5299620921,114.3560909045
437935.0055,30.5299620884,114.3560909071
437937.0055,30.5299620836,114.3560909113
437939.0055,30.5299620775,114.3560909174
437941.0055,30.5299620705,114.3560909257
437943.0055,30.5299620627,114.3560909349
437945.0055,30.5299620542,114.3560909442
437947.0055,30.5299620458,114.3560909537
437949.0055,30.5299620388,114.3560909633
437951.0055,30.5299620334,114.356090973
437953.0055,30.529962029,114.3560909827
437955.0055,30.529962025,114.3560909921
437957.0055,30.529962021,114.3560910013
437959.0055,30.5299620169,114.3560910107
437961.0055,30.5299620127,114.3560910198
437963.0055,30.5299620074,114.3560910285
437965.0055,30.5299619999,114.3560910362
437967.0055,30.5299619905,114.3560910422
437969.0055,30.5299619803,114.3560910465
437971.0055,30.5299619704,114.3560910488
437973.0055,30.5299619614,114.3560910495
437975.0055,30.5299619533,114.3560910491
437977.0055,30.5299619468,114.3560910479
437979.0055,30.5299619421,114.356091047
437981.0055,30.5299619394,114.3560910472
437983.0056,30.5299619374,114.3560910482
437985.0056,30.5299619354,114.3560910496
437987.0056,30.5299619328,114.3560910512
437989.0056,30.529961929,114.3560910538
437991.0056,30.5299619245,114.3560910579
437993.0056,30.5299619194,114.3560910633
437995.0056,30.5299619141,114.3560910691
437997.0056,30.5299619089,114.3560910742
437999.0056,30.5299619041,114.3560910783
438001.0056,30.5299619002,114.3560910818
438003.0056,30.5299618971,114.3560910847
438005.0056,30.5299618947,114.3560910872
438007.0056,30.5299618927,114.3560910891
438009.0056,30.5299618908,114.3560910895
438011.0056,30.5299618885,114.3560910899
438013.0056,30.5299618859,114.3560910912
438015.0056,30.5299618833,114.3560910939
438017.0056,30.5299618807,114.3560910969
438019.0056,30.5299618783,114.3560911004
438021.0056,30.5299618762,114.3560911042
438023.0056,30.5299618747,114.3560911086
438025.0056,30.5299618733,114.3560911135
438027.0056,30.529961872,114.3560911192
438029.0056,30.5299618707,114.3560911254
438031.0056,30.5299618697,114.3560911321
438033.0056,30.5299618687,114.3560911388
438035.0056,30.5299618677,114.3560911451
438037.0056,30.5299618664,114.3560911505
438039.0057,30.5299618652,114.3560911559
438041.0057,30.5299618638,114.3560911619
438043.0057,30.5299618622,114.3560911695
438045.0057,30.5299618611,114.3560911787
438047.0057,30.5299618608,114.3560911891
438049.0057,30.5299618614,114.3560912002
438051.0057,30.5299618634,114.3560912116
438053.0057,30.5299618665,114.3560912226
438055.0057,30.5299618707,114.3560912333
438057.0057,30.5299618751,114.3560912438
438059.0057,30.5299618789,114.3560912546
438061.0057,30.5299618811,114.3560912642
438063.0057,30.5299618814,114.3560912713
438065.0057,30.5299618791,114.356091276
438067.0057,30.5299618749,114.3560912792
438069.0057,30.5299618699,114.3560912813
438071.0057,30.5299618645,114.3560912836
438073.0057,30.5299618589,114.356091287
438075.0057,30.5299618527,114.3560912919
438077.0057,30.5299618457,114.3560912991
438079.0057,30.5299618381,114.3560913088
438081.0057,30.5299618299,114.3560913215
438083.0057,30.5299618222,114.3560913371
438085.0057,30.5299618159,114.3560913543
438087.0057,30.5299618126,114.3560913691
438089.0057,30.5299724174,114.3560934764
438091.0057,30.5299974856,114.3560920809
438093.0057,30.5300231991,114.3560988627
438095.0058,30.5300492535,114.3560933612
438097.0058,30.5300730958,114.3561032874
438099.0058,30.5300954695,114.3561196657
438101.0058,30.5301195884,114.3561326722
438103.0058,30.5301459475,114.3561318876
438105.0058,30.5301705905,114.3561210599
438107.0058,30.5301944775,114.3561089352
438109.0058,30.5302148747,114.3561250565
438111.0058,30.5302380907,114.3561396656
438113.0058,30.5302642227,114.3561360382
438115.0058,30.5302889404,114.3561248524
438117.0058,30.5303141531,114.3561164727
438119.0058,30.5303394903,114.3561076679
438121.0058,30.5303648724,114.3561118271
438123.0058,30.5303880406,114.3561265021
438125.0058,30.530412898,114.3561365934
438127.0058,30.5304386948,114.3561312296
438129.0058,30.5304612997,114.3561153412
438131.0058,30.5304862191,114.3561079926
438133.0058,30.5305112367,114.3561127581
438135.0058,30.5305368429,114.3561154076
438137.0058,30.5305625721,114.356108122
438139.0058,30.5305847922,114.3560919573
438141.0058,30.5306086572,114.3560808761
438143.0058,30.5306341853,114.3560761502
438145.0058,30.5306557702,114.3560586492
438147.0058,30.5306715374,114.3560342911
438149.0058,30.5306824291,114.3560063606
438151.0059,30.5306943495,114.3559797164
438153.0059,30.5307114162,114.3559568035
438155.0059,30.5307324133,114.3559385285
438157.0059,30.5307536058,114.3559205277
438159.0059,30.5307654943,114.3558938725
438161.0059,30.5307640389,114.3558632705
438163.0059,30.5307662884,114.3558338512
438165.0059,30.5307782062,114.3558066848
438167.0059,30.5307825211,114.3557765369
438169.0059,30.5307747952,114.35574778
438171.0059,30.530771511,114.3557195513
438173.0059,30.5307790468,114.3556912736
438175.0059,30.530788278,114.3556642861
438177.0059,30.5307883641,114.355635553
438179.0059,30.5307729354,114.3556132405
438181.0059,30.5307586007,114.3555904627
438183.0059,30.5307478416,114.3555630861
438185.0059,30.5307393115,114.3555351788
438187.0059,30.5307339702,114.3555061939
438189.0059,30.5307325075,114.3554771041
438191.0059,30.5307328175,114.3554463694
438193.0059,30.5307245049,114.3554174913
438195.0059,30.5307035055,114.3554006466
438197.0059,30.5306783096,114.3553915411
438199.0059,30.5306583874,114.3553726274
438201.0059,30.5306427377,114.3553486715
438203.0059,30.5306194339,114.3553347601
438205.0059,30.5305970547,114.3553190195
438207.0059,30.5305785262,114.3552972991
438209.006,30.5305572692,114.3552796398
438211.006,30.5305307527,114.3552776785
438213.006,30.5305067342,114.3552905069
438215.006,30.5304823028,114.3553010826
438217.006,30.5304571976,114.355310771
438219.006,30.530431296,114.3553116618
438221.006,30.5304084721,114.3552972128
438223.006,30.530384293,114.3552853363
438225.006,30.5303580044,114.3552862793
438227.006,30.5303327198,114.3552954753
438229.006,30.5303069134,114.3552974243
438231.006,30.5302809862,114.3553006991
438233.006,30.5302556176,114.3553064865
438235.006,30.5302299426,114.3553052996
438237.006,30.5302057661,114.3552975761
438239.006,30.5301825572,114.3552856091
438241.006,30.5301588652,114.355281436
438243.006,30.5301338197,114.3552899373
438245.006,30.5301093302,114.3552946864
438247.006,30.5300828508,114.3552938753
438249.006,30.5300575497,114.3552914527
438251.006,30.5300338701,114.3552833578
438253.006,30.5300082865,114.3552760635
438255.006,30.5299822559,114.3552713777
438257.006,30.529957039,114.3552816981
438259.006,30.529933296,114.3552951801
438261.006,30.5299077332,114.3553022967
438263.006,30.5298823223,114.3553108567
438265.0061,30.5298563023,114.3553129969
438267.0061,30.529830877,114.355305112
438269.0061,30.5298048215,114.3552999625
438271.0061,30.529779074,114.3553078939
438273.0061,30.5297542235,114.3553169596
438275.0061,30.5297288337,114.3553098796
438277.0061,30.5297041695,114.3552995105
438279.0061,30.5296790411,114.3552923018
438281.0061,30.5296537301,114.3553015547
438283.0061,30.5296304623,114.3553155857
438285.0061,30.5296044976,114.3553140708
438287.0061,30.5295791242,114.3553063181
438289.0061,30.5295543508,114.3553135855
438291.0061,30.5295382826,114.3553371848
438293.0061,30.5295326594,114.3553666684
438295.0061,30.5295349109,114.355396734
438297.0061,30.5295343617,114.3554269263
438299.0061,30.5295348924,114.355457077
438301.0061,30.5295353524,114.3554872707
438303.0061,30.529529766,114.3555169449
438305.0061,30.5295241403,114.3555466375
438307.0061,30.5295314934,114.3555758274
438309.0061,30.5295303,114.3556061324
438311.0061,30.5295292234,114.355636678
438313.0061,30.5295306258,114.3556671041
438315.0061,30.5295301309,114.3556976299
438317.0061,30.52953096,114.3557264065
438319.0061,30.5295273492,114.3557560225
438321.0061,30.5295287518,114.3557862965
438323.0062,30.5295325032,114.3558162581
438325.0062,30.5295300557,114.3558430113
438327.0062,30.5295259428,114.35587192
438329.0062,30.5295124727,114.3558981828
438331.0062,30.5295125647,114.355928852
438333.0062,30.5295247303,114.3559556571
438335.0062,30.5295296397,114.3559800438
438337.0062,30.5295208412,114.3560081261
438339.0062,30.5295172096,114.356036848
438341.0062,30.5295242719,114.3560598249
438343.0062,30.5295422537,114.3560776222
438345.0062,30.5295638606,114.3560948326
438347.0062,30.5295891606,114.3561036815
438349.0062,30.5296151447,114.3561003492
438351.0062,30.5296376505,114.3561149084
438353.0062,30.5296635099,114.3561222644
438355.0062,30.5296882681,114.356132404
438357.0062,30.5297148458,114.3561331627
438359.0062,30.5297405099,114.3561264088
438361.0062,30.5297659792,114.3561257197
438363.0062,30.529790871,114.356134651
438365.0062,30.5298162634,114.356142635
438367.0062,30.5298398436,114.3561283719
438369.0062,30.5298619841,114.3561118731
438371.0062,30.5298866474,114.3561051376
438373.0062,30.5299125208,114.356109685
438375.0062,30.5299376528,114.3561191841
438377.0062,30.529963873,114.3561227892
438379.0063,30.5299894401,114.3561139382
438381.0063,30.5300150951,114.3561087907
438383.0063,30.5300415094,114.3561111905
438385.0063,30.5300674318,114.3561051355
438387.0063,30.5300933955,114.3561022989
438389.0063,30.5301199613,114.3561029177
438391.0063,30.530146355,114.3561031977
438393.0063,30.5301727722,114.3561019523
438395.0063,30.5301992123,114.3560987212
438397.0063,30.5302254427,114.3560972205
438399.0063,30.5302497753,114.3561075936
438401.0063,30.5302721207,114.3561238355
438403.0063,30.5302983451,114.3561265417
438405.0063,30.5303216111,114.3561120783
438407.0063,30.5303468348,114.3561056488
438409.0063,30.5303695663,114.3561135068
438411.0063,30.5303937181,114.3561263163
438413.0063,30.5304185066,114.3561367213
438415.0063,30.5304450431,114.3561364365
438417.0063,30.5304698448,114.3561257015
438419.0063,30.5304923753,114.3561099262
438421.0063,30.5305179055,114.3561046271
438423.0063,30.5305441546,114.3561064384
438425.0063,30.5305684226,114.3560957109
438427.0063,30.5305795332,114.3560684762
438429.0063,30.530574147,114.3560386671
438431.0063,30.5305603871,114.3560133241
438433.0063,30.530559693,114.3559835537
438435.0064,30.5305622036,114.3559531558
438437.0064,30.5305608794,114.3559227414
438439.0064,30.5305564552,114.3558924518
438441.0064,30.5305598569,114.3558629309
438443.0064,30.5305638303,114.3558328246
438445.0064,30.5305604976,114.3558023844
438447.0064,30.5305518362,114.3557739129
438449.0064,30.5305549072,114.3557441898
438451.0064,30.5305644456,114.3557156636
438453.0064,30.5305619671,114.355685179
438455.0064,30.5305555545,114.3556556539
438457.0064,30.5305558633,114.3556251388
438459.0064,30.5305580147,114.3555946123
438461.0064,30.5305658768,114.3555653547
438463.0064,30.530574308,114.3555365534
438465.0064,30.5305932596,114.355516032
438467.0064,30.5306170112,114.3555031416
438469.0064,30.5306429504,114.3554974707
438471.0064,30.5306685669,114.3555004379
438473.0064,30.5306906308,114.3555175372
438475.0064,30.5307109837,114.3555366301
438477.0064,30.5307256482,114.3555617862
438479.0064,30.530746271,114.3555808115
438481.0064,30.5307557499,114.3556083573
438483.0064,30.5307617234,114.355638111
438485.0064,30.5307670348,114.3556682797
438487.0064,30.5307658173,114.3556983939
438489.0064,30.5307606045,114.355728299
438491.0065,30.5307574397,114.355758569
438493.0065,30.5307513275,114.3557879928
438495.0065,30.5307447583,114.3558177364
438497.0065,30.5307351714,114.3558461392
438499.0065,30.5307247013,114.3558742104
438501.0065,30.5307159029,114.3559028453
438503.0065,30.5307016346,114.3559282344
438505.0065,30.5306832121,114.3559500899
438507.0065,30.5306683764,114.3559753548
