case_name,algorithm,matched_csv,exact_edge_sequence_ratio,edge_set_overlap_ratio,mean_matched_point_distance_m,is_exact_same_sequence,ref_n,pred_n
step_5,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_5/HMM/matched_points.csv,0.09038238702201622,0.84,107.84210118644529,False,4312,863
step_5,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_5/trendHMM/matched_points.csv,0.0984936268829664,0.92,104.7341165422344,False,4312,863
noise_20m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_20m/HMM/matched_points.csv,0.18089053803339517,0.96,34.49131103129365,False,4312,4312
noise_20m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_20m/trendHMM/matched_points.csv,0.2189239332096475,1.0,34.490203621986545,False,4312,4312
step_3,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_3/HMM/matched_points.csv,0.09388038942976357,0.88,100.60432757428093,False,4312,1438
step_3,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_3/trendHMM/matched_points.csv,0.10222531293463143,0.96,100.20478539734775,False,4312,1438
noise_5m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_5m/HMM/matched_points.csv,0.24976808905380335,0.92,22.208881223970117,False,4312,4312
noise_5m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_5m/trendHMM/matched_points.csv,0.3409090909090909,1.0,20.606340999062095,False,4312,4312
noise_10m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_10m/HMM/matched_points.csv,0.2082560296846011,0.96,24.475168277270587,False,4312,4312
noise_10m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_10m/trendHMM/matched_points.csv,0.2597402597402597,1.0,25.32158585525139,False,4312,4312
noise_0m,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_0m/HMM/matched_points.csv,0.5280612244897959,0.84,18.540409517328907,False,4312,4312
noise_0m,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/noise_0m/trendHMM/matched_points.csv,1.0,1.0,0.0,True,4312,4312
step_1,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_1/HMM/matched_points.csv,0.5280612244897959,0.84,18.540409517328907,False,4312,4312
step_1,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_1/trendHMM/matched_points.csv,1.0,1.0,0.0,True,4312,4312
raw,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/raw/HMM/matched_points.csv,0.5280612244897959,0.84,18.540409517328907,False,4312,4312
raw,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/raw/trendHMM/matched_points.csv,1.0,1.0,0.0,True,4312,4312
step_2,HMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_2/HMM/matched_points.csv,0.12523191094619665,0.88,97.83367671699064,False,4312,2156
step_2,trendHMM,/a_new_folder/location_services_and_practices/1/experiments/giow_track_subset/results/step_2/trendHMM/matched_points.csv,0.11224489795918367,1.0,98.90610004877526,False,4312,2156
